iter	RMSE
0	5.302232342
1	5.162573861
2	5.044683168
3	4.947123897
4	4.866305862
5	4.797864495
6	4.737509547
7	4.686638228
8	4.647110699
9	4.612424637
10	4.58217386
11	4.556361197
12	4.536301379
13	4.520103321
14	4.501844575
15	4.485956972
16	4.475293305
17	4.46219451
18	4.451773656
19	4.443525318
20	4.436193554
21	4.428863662
22	4.423367359
23	4.417172672
24	4.412311273
25	4.407330527
26	4.403079388
27	4.399501434
28	4.395698983
29	4.392479864
30	4.38900834
31	4.386313803
32	4.383893071
33	4.381697114
34	4.378804431
35	4.376140962
36	4.373157799
37	4.371256823
38	4.369905434
39	4.367593534
40	4.365534563
41	4.363907754
42	4.361919848
43	4.360135007
44	4.358560828
45	4.357216832
46	4.35559289
47	4.353603793
48	4.351483008
49	4.349998948
50	4.348138941
51	4.346894555
52	4.346187265
53	4.345141621
54	4.343469235
55	4.342232422
56	4.340825736
57	4.340019229
58	4.338826639
59	4.337954398
60	4.337219346
61	4.335935822
62	4.334615132
63	4.33310805
64	4.331912172
65	4.331301941
66	4.329986925
67	4.329220624
68	4.328154696
69	4.327449739
70	4.32636194
71	4.325538238
72	4.324563812
73	4.323527135
74	4.322719716
75	4.32207716
76	4.320842407
77	4.320168378
78	4.319689777
79	4.318582103
80	4.317874346
81	4.317075451
82	4.316248277
83	4.315486493
84	4.314791526
85	4.31392556
86	4.312597047
87	4.312056491
88	4.310968213
89	4.310375757
90	4.30979839
91	4.309325913
92	4.30877736
93	4.3076929
94	4.30720904
95	4.306555959
96	4.305923387
97	4.305174498
98	4.304769706
99	4.304242118
100	4.303701908
101	4.302885962
102	4.302501733
103	4.301956962
104	4.30167005
105	4.301042498
106	4.300412838
107	4.299952518
108	4.299299577
109	4.298756884
110	4.298343727
111	4.297858814
112	4.297490281
113	4.296962109
114	4.296625486
115	4.296207932
116	4.295636892
117	4.295208213
118	4.294716577
119	4.294295108
120	4.293916792
121	4.29302952
122	4.292693677
123	4.292323457
124	4.292183878
125	4.291402587
126	4.291023394
127	4.290646499
128	4.290268016
129	4.289886701
130	4.289498819
131	4.289052105
132	4.288744884
133	4.288497381
134	4.288013689
135	4.287898553
136	4.287436889
137	4.286746869
138	4.286356057
139	4.28587368
140	4.285543502
141	4.285178581
142	4.284708684
143	4.284316284
144	4.284013552
145	4.28382153
146	4.283492129
147	4.283204291
148	4.283110522
149	4.282387867
150	4.282068483
151	4.281859546
152	4.281529215
153	4.281288463
154	4.280963075
155	4.280557707
156	4.28006361
157	4.279781777
158	4.279532975
159	4.279040006
160	4.278805974
161	4.278515014
162	4.278444065
163	4.278171638
164	4.277709237
165	4.277558887
166	4.277318223
167	4.277045256
168	4.276799727
169	4.27664295
170	4.276383669
171	4.276103466
172	4.275927472
173	4.275685155
174	4.275582327
175	4.275359809
176	4.274973106
177	4.274755707
178	4.274514729
179	4.27418742
180	4.273695084
181	4.273586743
182	4.273375206
183	4.273220801
184	4.272944918
185	4.272714924
186	4.272042203
187	4.271778114
188	4.271582418
189	4.27135813
190	4.271067601
191	4.270894991
192	4.270785799
193	4.27041821
194	4.270047778
195	4.269847472
196	4.269715752
197	4.269435892
198	4.269255248
199	4.2691432
200	4.269007239
201	4.268880807
202	4.268708266
203	4.268508835
204	4.268287667
205	4.268032412
206	4.267560939
207	4.267477144
208	4.267268588
209	4.267119746
210	4.266918364
211	4.266713846
212	4.266534024
213	4.266387033
214	4.266212984
215	4.265970741
216	4.265839058
217	4.26563136
218	4.265500448
219	4.264993343
220	4.264891039
221	4.26470019
222	4.264664678
223	4.264513869
224	4.264349599
225	4.264178595
226	4.263977075
227	4.263743155
228	4.263514542
229	4.262784809
230	4.262594805
231	4.262470374
232	4.262248267
233	4.261829379
234	4.261694281
235	4.261572485
236	4.261115328
237	4.260900353
238	4.260608954
239	4.260499498
240	4.260360129
241	4.260127889
242	4.259998531
243	4.259882325
244	4.259699552
245	4.259401649
246	4.259345731
247	4.258985614
248	4.258738417
249	4.258559199
250	4.258426346
251	4.258322318
252	4.258173947
253	4.25798311
254	4.2579278
255	4.257756382
256	4.257534029
257	4.257387512
258	4.257265122
259	4.257068916
260	4.256858596
261	4.256652967
262	4.256503911
263	4.25640344
264	4.256293092
265	4.256179293
266	4.256039939
267	4.25578489
268	4.255595514
269	4.255494865
270	4.255418514
271	4.255231944
272	4.255201527
273	4.25505979
274	4.25492965
275	4.254854544
276	4.254656032
277	4.254515217
278	4.254452648
279	4.254332997
280	4.254204247
281	4.254118778
282	4.253995354
283	4.253839774
284	4.253618472
285	4.253538794
286	4.253424293
287	4.253330652
288	4.253280928
289	4.25321395
290	4.253166734
