iter	Passed	Remaining
0	1311	1441854
1	2214	1216030
2	2577	942621
3	3007	824026
4	3596	787690
5	4064	741062
6	4546	709949
7	5178	706883
8	5705	691591
9	6183	673951
10	6670	660399
11	7181	651115
12	7611	636443
13	8165	633380
14	8733	631737
15	9367	634648
16	9984	636080
17	10569	635340
18	11121	632737
19	11669	630149
20	12124	622955
21	12662	620446
22	13320	623743
23	13980	626810
24	14507	623817
25	15001	619671
26	15518	616703
27	16132	617632
28	16742	618310
29	17350	618849
30	18089	623806
31	18595	620627
32	19190	620483
33	19685	617187
34	20171	613804
35	20659	610599
36	21146	607532
37	21624	604335
38	22209	604225
39	22745	602756
40	23245	600426
41	23763	598615
42	24332	598114
43	25100	602408
44	25770	604163
45	26289	602361
46	26864	601887
47	27392	600354
48	27918	598818
49	28508	598686
50	29105	598660
51	29574	596038
52	30260	597788
53	30849	597565
54	31420	596990
55	31926	595206
56	32593	596396
57	33172	595966
58	33881	597811
59	34505	598092
60	35150	598709
61	35760	598698
62	36335	598098
63	36899	597309
64	37421	595863
65	37869	593285
66	38410	592206
67	38878	590043
68	39461	589642
69	40121	590356
70	40601	588430
71	41141	587404
72	41763	587545
73	42344	587094
74	42969	587243
75	43518	586348
76	43990	584446
77	44625	584704
78	45377	586463
79	45855	584660
80	46516	585189
81	47156	585428
82	47819	585936
83	48385	585235
84	48836	583166
85	49340	581758
86	49896	580979
87	50526	581058
88	51058	580005
89	51604	579119
90	52136	578085
91	52659	576959
92	53185	575886
93	53753	575273
94	54304	574484
95	54860	573748
96	55383	572674
97	55843	570967
98	56477	571049
99	57180	571809
100	57797	571683
101	58454	571940
102	59088	571958
103	59652	571291
104	60457	572908
105	61097	572931
106	61670	572328
107	62313	572362
108	62878	571678
109	63416	570749
110	64086	571002
111	64637	570196
112	65170	569233
113	65778	568930
114	66398	568717
115	66962	568028
116	67541	567465
117	68143	567091
118	68737	566651
119	69372	566545
120	69889	565471
121	70472	564933
122	71025	564161
123	71694	564302
124	72347	564309
125	72981	564160
126	73550	563497
127	74095	562659
128	74640	561825
129	75138	560646
130	75754	560355
131	76282	559401
132	76792	558335
133	77341	557550
134	77959	557268
135	78665	557599
136	79118	556137
137	79771	556088
138	80417	555981
139	81005	555463
140	81435	553879
141	81918	552663
142	82562	552532
143	83119	551819
144	83821	552065
145	84376	551333
146	84914	550497
147	85336	548922
148	85920	548392
149	86453	547537
150	86938	546388
151	87483	545623
152	88056	545028
153	88648	544557
154	89268	544252
155	89778	543272
156	90334	542581
157	90855	541684
158	91683	542605
159	92354	542585
160	93102	543000
161	93814	543199
162	94538	543450
163	95137	542982
164	95695	542273
165	96191	541223
166	96740	540474
167	97360	540118
168	97977	539743
169	98637	539603
170	99225	539067
171	99865	538807
172	100363	537784
173	100963	537309
174	101488	536437
175	102049	535757
176	102591	534984
177	103241	534769
178	103795	534053
179	104396	533583
180	104886	532545
181	105581	532549
182	106185	532088
183	106784	531602
184	107273	530568
185	108074	531076
186	108603	530240
187	109058	529049
188	109504	527821
189	110065	527154
190	110754	527097
191	111540	527491
192	112145	527023
193	112760	526601
194	113285	525761
195	113945	525543
196	114645	525508
197	115212	524858
198	115816	524375
199	116387	523742
200	116853	522644
201	117436	522068
202	118009	521451
203	118526	520587
204	119133	520119
205	119748	519686
206	120257	518790
207	121173	519646
208	121688	518776
209	122123	517571
210	122916	517882
211	123652	517938
212	124370	517916
213	124930	517237
214	125635	517150
215	126082	516005
216	126612	515200
217	127316	515105
218	127867	514390
219	128547	514188
220	129298	514268
221	129901	513756
222	130410	512869
223	130926	512015
224	131430	511120
225	131908	510124
226	132377	509100
227	133338	509961
228	134042	509827
229	134708	509549
230	135243	508772
231	135956	508664
232	136507	507946
233	137069	507274
234	137614	506537
235	138198	505946
236	138895	505766
237	139480	505177
238	139951	504176
239	140547	503629
240	141176	503197
241	141702	502398
242	142404	502223
243	142836	501098
244	143410	500472
245	143932	499668
246	144589	499332
247	145132	498599
248	145659	497815
249	146069	496635
250	146654	496052
251	147210	495375
252	147735	494592
253	148315	493995
254	149115	494128
255	149604	493226
256	150165	492566
257	150619	491555
258	151173	490877
259	151619	489846
260	152073	488848
261	152686	488365
262	153362	488078
263	154108	488009
264	154844	487905
265	155456	487408
266	155967	486595
267	156556	486026
268	157194	485607
269	157883	485346
270	158562	485050
271	159109	484347
272	159667	483681
273	160168	482843
274	160953	482861
275	161635	482563
276	162364	482404
277	162877	481603
278	163528	481208
279	164092	480557
280	164661	479922
281	165387	479741
282	165969	479140
283	166466	478297
284	167045	477690
285	167613	477053
286	168127	476262
287	168882	476155
288	169652	476082
289	170165	475290
290	170754	474709
291	171371	474205
292	171937	473562
293	172480	472855
294	172968	471998
295	173427	471065
296	173902	470180
297	174429	469437
298	174893	468527
299	175504	468011
300	176271	467909
301	176915	467479
302	177392	466607
303	177942	465929
304	178581	465482
305	179417	465546
306	179967	464868
307	180725	464722
308	181195	463836
309	181843	463406
310	182288	462462
311	182824	461749
312	183428	461207
313	184103	460844
314	184807	460551
315	185465	460142
316	186170	459847
317	186819	459412
318	187369	458731
319	187918	458050
320	188440	457304
321	189090	456871
322	189763	456490
323	190326	455843
324	190841	455082
325	191445	454537
326	192256	454477
327	192953	454147
328	193716	453967
329	194438	453690
330	195034	453115
331	195833	453013
332	196291	452117
333	196861	451483
334	197591	451215
335	198072	450378
336	198652	449768
337	199216	449120
338	199779	448473
339	200523	448229
340	201010	447411
341	201610	446843
342	202271	446413
343	203072	446286
344	203682	445739
345	204243	445085
346	204872	444578
347	205373	443795
348	205942	443159
349	206642	442805
350	207284	442325
351	207749	441467
352	208350	440900
353	208882	440188
354	209562	439786
355	209990	438856
356	210503	438107
357	210940	437200
358	211662	436885
359	212264	436321
360	212858	435741
361	213361	434974
362	214138	434766
363	214813	434348
364	215435	433823
365	216084	433350
366	216770	432950
367	217181	432002
368	217777	431423
369	218268	430637
370	218719	429775
371	219249	429069
372	219805	428415
373	220301	427644
374	220867	427010
375	221297	426115
376	221877	425510
377	222447	424885
378	222967	424167
379	223727	423904
380	224412	423498
381	225112	423117
382	225574	422290
383	226181	421733
384	226776	421156
385	227428	420684
386	227939	419951
387	228518	419343
388	229069	418684
389	229568	417932
390	230097	417235
391	230584	416464
392	231266	416043
393	231842	415433
394	232457	414891
395	233027	414270
396	233681	413799
397	234253	413180
398	234852	412610
399	235428	411999
400	235965	411321
401	236492	410626
