ID,ISFRAUD
0,0
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,1
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,0
306,0
307,1
308,0
309,0
310,1
311,1
312,0
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,1
394,0
395,1
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,1
413,1
414,0
415,1
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,1
441,1
442,0
443,1
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,1
467,0
468,1
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,1
487,0
488,1
489,1
490,1
491,0
492,0
493,1
494,1
495,0
496,0
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,0
527,1
528,0
529,1
530,0
